shipment_id,sales_id,product_id,quantity_sold,date
450,504,9,11,2024-11-23
451,505,56,8,2024-12-11
452,506,56,19,2024-11-04
453,507,27,5,2024-04-06
454,508,30,16,2024-01-09
455,509,94,9,2024-12-23
456,510,36,4,2024-03-09
457,511,28,28,2024-10-04
458,512,57,9,2024-01-19
459,513,93,18,2024-02-12
460,514,98,1,2024-12-27
461,515,28,4,2024-02-23
462,516,63,5,2024-04-02
463,517,29,4,2024-07-23
464,519,24,2,2024-11-20
465,520,29,16,2024-02-23
466,521,21,5,2024-07-26
467,522,63,2,2024-01-10
468,523,27,4,2024-05-09
469,526,27,9,2024-09-19
470,527,48,8,2024-04-28
471,528,23,1,2024-06-04
472,529,52,11,2024-08-30
473,530,32,7,2024-07-14
474,531,54,13,2024-10-20
475,532,9,7,2024-12-29
476,535,74,3,2024-10-09
477,536,63,11,2024-11-17
478,537,28,10,2024-06-11
479,538,57,1,2024-07-26
480,539,56,5,2024-09-05
481,540,28,3,2024-01-31
482,541,63,4,2025-01-02
483,543,63,4,2024-06-11
484,544,56,3,2024-04-22
485,545,8,10,2024-02-03
486,547,100,15,2024-07-21
487,548,28,5,2024-04-19
488,549,50,21,2024-01-09
489,550,9,7,2024-03-07
490,551,5,1,2024-04-19
491,553,47,6,2024-02-10
492,554,56,1,2024-04-13
493,555,63,4,2024-08-22
494,556,45,24,2024-05-10
495,558,62,1,2024-03-15
496,559,41,8,2024-05-11
497,560,36,11,2024-01-17
498,561,29,5,2024-06-20
499,562,27,3,2024-08-18
500,563,28,4,2024-12-13
501,565,63,10,2024-04-02
502,566,39,3,2024-12-16
503,567,4,2,2024-01-17
504,568,52,1,2024-11-01
505,569,71,4,2024-01-27
506,570,56,27,2024-07-14
507,571,76,24,2024-09-12
508,572,27,2,2024-01-31
509,573,59,28,2024-10-18
510,574,57,18,2024-07-25
511,576,63,19,2024-04-26
512,578,63,23,2024-12-05
513,579,6,8,2024-10-04
514,580,63,4,2024-09-09
515,581,9,4,2024-08-16
516,582,27,18,2024-10-06
517,583,29,20,2024-11-07
518,584,28,4,2024-06-14
519,585,99,2,2024-05-22
520,586,29,1,2024-05-21
521,587,41,3,2024-06-08
522,588,63,2,2024-08-01
523,589,56,9,2024-12-01
524,590,9,8,2024-02-21
525,592,18,16,2024-10-15
526,593,9,1,2024-01-25
527,594,51,5,2024-04-22
528,595,31,1,2024-03-17
529,596,85,28,2024-10-06
530,597,29,18,2024-09-10
531,598,16,4,2024-10-12
532,599,3,9,2024-02-11
533,600,10,4,2024-12-02
534,602,49,1,2024-12-24
535,604,63,2,2024-04-15
536,605,56,13,2024-01-28
537,606,29,5,2024-10-23
538,607,9,3,2024-12-03
539,608,65,1,2024-10-29
540,609,56,5,2024-06-22
541,611,10,1,2024-07-23
542,612,54,5,2024-11-02
543,613,99,5,2024-08-25
544,614,59,3,2024-12-12
545,615,28,4,2024-01-24
546,616,29,27,2024-09-05
547,617,28,19,2024-02-13
548,618,66,3,2024-10-13
549,619,27,28,2024-04-24
550,620,4,10,2024-08-13
551,621,44,10,2024-05-07
552,622,9,4,2024-06-18
553,623,27,21,2024-04-13
554,624,94,17,2024-05-21
555,625,14,2,2024-01-19
556,626,17,7,2024-10-10
557,627,38,12,2024-08-11
558,628,93,5,2024-05-03
559,629,27,9,2024-01-21
560,630,5,29,2024-09-05
561,631,96,12,2024-03-26
562,632,25,4,2024-01-30
563,633,63,14,2024-10-12
564,634,80,14,2024-12-29
565,635,70,7,2024-04-04
566,636,44,28,2024-12-10
567,637,29,16,2024-02-12
568,638,8,15,2024-12-16
569,639,56,8,2024-10-22
570,641,63,8,2024-02-21
571,642,55,1,2024-04-02
572,643,19,5,2024-09-02
573,644,52,13,2024-01-15
574,645,9,1,2024-12-11
575,646,29,3,2025-01-04
576,647,30,3,2024-05-13
577,649,73,4,2024-02-06
578,652,27,5,2024-07-14
579,653,27,26,2024-12-22
580,654,93,7,2024-08-02
581,655,28,2,2024-01-01
582,656,31,2,2024-05-27
583,658,35,3,2024-07-10
584,659,9,19,2024-04-05
585,660,57,1,2024-05-18
586,661,41,9,2024-03-16
587,662,9,15,2024-07-02
588,663,29,9,2024-07-22
589,664,55,6,2024-10-10
590,665,29,20,2024-11-30
591,666,56,8,2024-12-02
592,667,27,8,2024-11-21
593,668,9,7,2024-01-26
594,669,19,2,2024-09-13
595,670,90,4,2024-03-25
596,671,28,11,2024-07-15
597,672,14,2,2024-10-04
598,674,80,5,2024-12-15
599,675,30,9,2024-01-24
600,676,4,6,2024-07-01
601,677,91,18,2024-10-21
602,678,27,13,2024-02-19
603,680,65,4,2024-11-09
604,682,75,3,2024-11-14
605,683,28,10,2024-03-24
606,684,23,30,2024-07-10
607,685,56,18,2024-09-10
608,688,29,4,2024-02-24
609,689,9,10,2024-02-03
610,690,63,9,2024-03-04
611,691,29,3,2024-07-12
612,692,94,2,2024-06-14
613,694,10,3,2024-04-01
614,695,27,11,2024-01-23
615,696,37,19,2024-07-11
616,697,20,27,2024-10-15
617,699,39,7,2024-04-22
618,700,63,3,2024-02-05
619,701,99,2,2024-03-22
620,702,87,21,2024-09-15
621,703,69,3,2024-12-16
622,704,56,27,2024-09-29
623,705,27,3,2024-06-11
624,706,27,2,2024-07-07
625,707,56,15,2024-08-04
626,708,52,1,2024-01-19
627,709,9,10,2024-04-29
628,711,43,18,2024-01-25
629,712,63,7,2024-12-06
630,713,69,23,2024-03-17
631,714,16,1,2024-05-23
632,715,68,14,2024-03-24
633,716,6,20,2024-05-26
634,717,9,5,2024-06-10
635,718,63,18,2024-08-14
636,719,96,1,2024-07-09
637,720,10,7,2024-10-05
638,721,63,6,2024-09-19
639,723,21,1,2024-05-08
640,724,28,4,2024-01-09
641,725,6,2,2024-07-22
642,726,67,4,2024-08-28
643,727,63,14,2024-02-09
644,728,28,30,2024-05-09
645,729,9,13,2024-09-16
646,730,63,1,2024-04-26
647,732,64,3,2024-11-01
648,733,71,10,2024-01-18
649,734,73,1,2024-12-09
650,735,56,2,2024-01-19
651,736,56,24,2024-02-17
652,737,17,29,2024-10-22
653,738,29,5,2024-02-19
654,739,47,9,2024-05-07
655,740,64,8,2024-06-21
656,741,85,4,2024-04-11
657,742,56,6,2024-04-20
658,743,29,20,2024-11-26
659,744,29,17,2024-02-12
660,745,43,6,2024-09-28
661,746,22,23,2024-04-13
662,747,20,3,2024-04-22
663,748,63,21,2024-12-19
664,749,56,15,2024-01-07
665,750,9,1,2024-11-28
666,751,9,8,2024-07-30
667,752,56,8,2024-12-11
668,754,29,30,2024-02-11
669,755,40,1,2024-07-29
670,756,71,8,2024-06-03
671,757,99,13,2024-10-29
672,758,56,22,2024-05-05
673,759,86,5,2025-01-07
674,760,23,12,2024-10-11
675,761,70,3,2024-03-02
676,762,9,5,2024-02-10
677,763,28,7,2024-08-14
678,764,63,2,2024-10-03
679,765,9,2,2024-06-08
680,766,2,30,2024-06-19
681,767,15,5,2024-08-14
682,768,11,12,2024-07-25
683,769,44,7,2024-07-09
684,771,56,3,2024-02-18
685,773,48,5,2024-11-13
686,774,49,25,2024-08-22
687,775,63,4,2024-11-07
688,776,52,21,2024-08-26
689,777,100,2,2024-01-07
690,778,34,16,2024-11-29
691,779,9,19,2024-04-02
692,780,64,10,2024-01-07
693,781,28,2,2024-11-09
694,783,22,4,2024-12-05
695,784,95,2,2024-07-22
696,785,56,2,2024-05-23
697,786,43,2,2024-09-13
698,787,5,2,2024-08-19
699,788,28,6,2024-09-06
700,789,63,4,2024-07-09
701,790,16,2,2024-06-16
702,791,63,1,2024-08-27
703,793,12,5,2024-11-11
704,794,20,10,2024-09-27
705,795,72,1,2024-05-07
706,796,10,11,2024-12-19
707,797,14,5,2024-12-18
708,799,56,14,2024-12-25
709,800,56,5,2024-05-20
710,801,29,6,2024-05-25
711,802,15,1,2024-10-18
712,803,29,5,2024-03-19
713,804,100,4,2024-04-05
714,805,69,2,2024-05-26
715,806,1,12,2024-09-15
716,807,9,13,2024-08-14
717,810,87,12,2024-09-15
718,811,28,8,2024-06-21
719,812,56,3,2024-06-01
720,813,79,4,2024-01-12
721,815,56,10,2024-07-09
722,816,28,2,2024-03-19
723,818,56,4,2024-07-30
724,819,38,8,2024-12-06
725,820,85,2,2024-12-05
726,821,9,2,2024-03-27
727,823,34,6,2024-08-08
728,824,56,29,2024-10-15
729,825,48,4,2025-01-07
730,826,25,3,2024-07-21
731,827,20,19,2024-12-28
732,828,83,9,2024-12-17
733,829,56,4,2024-03-06
734,830,22,1,2024-05-22
735,831,63,8,2024-09-18
736,832,42,4,2024-11-01
737,833,29,15,2024-10-01
738,834,2,19,2024-01-07
739,835,56,12,2024-11-10
740,836,57,2,2024-04-30
741,837,22,15,2024-11-02
742,838,29,4,2024-05-01
743,839,56,9,2024-10-07
744,840,83,5,2025-01-07
745,841,63,4,2024-12-05
746,842,83,2,2024-12-20
747,843,56,2,2024-05-26
748,844,92,4,2024-06-25
749,845,44,1,2024-01-31
750,846,20,26,2024-08-25
751,847,29,1,2024-08-23
752,848,29,22,2024-11-09
753,849,10,7,2024-10-11
754,850,14,8,2024-09-23
755,851,10,17,2024-11-24
756,852,69,20,2024-02-10
757,853,15,8,2024-09-29
758,854,45,1,2024-12-18
759,855,63,5,2024-02-23
760,856,14,16,2024-05-14
761,857,82,11,2024-12-14
762,859,63,19,2024-06-14
763,861,28,10,2024-02-19
764,862,63,4,2024-10-06
765,863,63,5,2024-11-08
766,864,44,2,2024-04-08
767,865,56,12,2024-06-22
768,866,90,5,2024-12-19
769,867,28,22,2024-02-14
770,868,9,8,2024-01-19
771,869,21,4,2024-11-01
772,870,56,1,2024-02-06
773,871,27,10,2024-09-13
774,872,63,4,2024-06-01
775,873,28,2,2024-10-25
776,874,27,1,2024-07-06
777,875,89,4,2024-11-03
778,876,53,3,2024-03-22
779,877,9,1,2024-05-06
780,878,69,5,2024-04-19
781,879,56,3,2024-12-26
782,880,52,8,2024-10-26
783,881,72,19,2024-12-13
784,882,56,2,2024-01-29
785,883,27,5,2024-01-24
786,884,75,2,2024-08-15
787,885,28,5,2024-12-24
788,886,9,5,2024-04-15
789,887,29,1,2024-01-25
790,888,78,1,2024-03-14
791,889,27,8,2024-03-22
792,890,27,8,2024-08-10
793,891,58,3,2024-02-03
794,892,28,10,2024-04-08
795,893,47,1,2024-09-06
796,894,63,2,2024-02-17
797,895,76,3,2024-09-01
798,897,92,23,2024-06-09
799,898,43,3,2024-06-10
800,899,28,3,2024-08-22
801,900,63,20,2024-02-05
802,901,65,1,2024-10-31
803,902,40,3,2024-10-07
804,903,28,6,2024-01-29
805,904,98,15,2024-01-15
806,905,39,5,2024-12-30
807,907,63,3,2025-01-04
808,908,26,8,2024-09-23
809,909,13,19,2024-10-26
810,910,63,20,2024-01-21
811,911,84,2,2024-03-22
812,912,9,5,2024-11-15
813,913,38,6,2024-05-31
814,914,71,3,2024-07-22
815,915,28,3,2024-02-04
816,917,27,16,2024-10-13
817,918,63,23,2024-07-28
818,919,18,9,2024-05-30
819,920,56,1,2024-06-16
820,921,97,6,2024-07-31
821,923,63,1,2024-08-25
822,924,63,2,2024-09-30
823,926,63,29,2024-05-12
824,927,73,10,2024-10-03
825,928,21,7,2024-02-16
826,929,93,19,2024-09-08
827,930,56,4,2024-10-07
828,931,29,9,2025-01-16
829,932,10,21,2024-10-01
830,933,28,5,2024-08-05
831,934,27,17,2024-02-24
832,935,27,18,2024-02-28
833,936,28,13,2024-08-10
834,937,35,1,2024-04-06
835,938,15,26,2024-11-20
836,939,86,30,2024-10-30
837,940,61,24,2024-05-06
838,941,5,6,2024-11-25
839,942,16,4,2024-11-16
840,943,2,4,2024-05-14
841,944,29,7,2024-05-14
842,945,54,5,2024-12-22
843,946,9,5,2024-12-08
844,947,40,4,2024-11-17
845,948,29,1,2024-07-02
846,949,77,4,2024-12-05
847,950,28,28,2024-05-15
848,951,32,30,2024-10-15
849,952,56,5,2024-11-04
850,953,27,13,2024-12-09
851,954,3,2,2024-11-07
852,955,84,2,2024-11-10
853,956,24,5,2024-09-19
854,957,23,24,2024-12-25
855,958,10,2,2024-01-01
856,959,100,2,2024-02-12
857,960,75,15,2024-02-06
858,961,1,1,2024-05-09
859,963,63,24,2024-09-25
860,964,4,7,2024-01-25
861,965,97,3,2024-12-26
862,966,29,4,2024-01-07
863,969,9,10,2024-02-24
864,970,28,8,2024-03-14
865,971,54,3,2024-10-12
866,972,28,9,2024-11-12
867,973,52,28,2024-06-28
868,974,58,1,2024-03-08
869,975,12,3,2024-11-07
870,976,27,5,2024-01-15
871,977,63,2,2024-04-21
872,978,9,1,2024-10-25
873,979,38,1,2024-03-30
874,980,5,8,2024-10-12
875,981,56,2,2024-11-19
876,982,88,12,2025-01-06
877,983,13,15,2024-08-21
878,984,69,19,2024-02-20
879,985,83,10,2024-09-26
880,986,17,8,2024-02-28
881,987,56,4,2024-02-24
882,988,54,13,2024-03-24
883,989,14,10,2024-02-02
884,990,28,1,2024-03-20
885,991,65,1,2024-03-07
886,993,26,2,2024-10-15
887,994,27,7,2024-09-17
888,995,28,8,2024-01-09
889,996,27,5,2024-08-18
890,997,63,3,2024-10-29
891,998,9,3,2024-08-31
892,999,14,3,2024-02-14
893,1000,85,4,2024-04-16
894,1001,90,1,2024-10-25
895,1002,27,3,2024-06-17
896,1003,28,11,2024-05-13
897,1004,85,17,2024-04-06
898,1005,28,13,2024-12-20
899,1006,32,7,2024-07-23
900,1008,85,3,2024-06-02
901,1009,18,3,2024-03-01
902,1010,28,20,2024-10-13
903,1011,95,5,2024-10-08
904,1013,96,5,2024-12-20
905,1014,93,16,2024-02-08
906,1015,56,23,2024-05-02
907,1016,28,2,2024-03-27
908,1017,16,2,2024-04-28
909,1018,63,20,2024-08-19
910,1019,51,4,2024-09-28
911,1020,32,4,2024-04-29
912,1021,22,28,2024-05-07
913,1022,27,17,2024-04-28
914,1023,17,4,2024-06-10
915,1024,27,19,2024-11-24
916,1025,75,10,2024-02-25
917,1026,27,10,2024-02-23
918,1027,69,2,2024-11-24
919,1028,83,3,2024-01-28
920,1029,63,5,2024-02-27
921,1030,29,16,2024-07-27
922,1031,81,6,2024-03-10
923,1032,56,1,2024-03-18
924,1033,91,9,2024-06-07
925,1034,41,6,2024-02-20
926,1035,51,18,2024-01-18
927,1036,78,4,2024-11-16
